Gene	annotation
Anxa2	Microglial
Bmp4	Microglial
Klk6	Microglial
C1qa	Microglial
Col15a1	Microglial
Mrc1	Microglial
Col23a1	Microglial
Map3k7cl	Microglial
C1qb	Microglial
Clec7a	Microglial
Ctsb	Microglial
Tmem119	Microglial
Csf1r	Microglial
Laptm5	Microglial
Serpina3n	Microglial
Cd3e	Microglial
Cd28	Microglial
Cd247	Microglial
Cd8a	Microglial
Stat1	Microglial
Rsad2	Microglial
Ifng	Microglial
Usp18	Microglial
Ifit1	Microglial
Plin2	Microglial
Ttr	Microglial
Abca1	Microglial
Nos2	Microglial
Il12a	Microglial
Arg1	Microglial
Il10	Microglial
Itga8	Microglial
Tlr3	Microglial
Sult1a1	Microglial
Tnfrsf1a	Microglial
Fcgr3	Microglial
Tgfb1	Microglial
Tgfb2	Microglial
Tnf	Microglial
Il1b	Microglial
Plxnb2	Microglial
Ccr2	Microglial
